service_name,service_url,Topic,Subtopic
Belmont House,https://211ontario.ca/service/88363960/belmont-house-belmont-house/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
St George Community - Long Term Care Home,https://211ontario.ca/service/88363926/st-george-community-long-term-care-home-st-george-community-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Maynard Nursing Home,https://211ontario.ca/service/88363934/maynard-nursing-home-maynard-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
O'Neill Centre (The),https://211ontario.ca/service/88363895/oneill-centre-the-oneill-centre-the/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Fairview Nursing Home,https://211ontario.ca/service/88363914/fairview-nursing-home-fairview-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Castleview Wychwood Towers,https://211ontario.ca/service/88363988/castleview-wychwood-towers-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Norwood Long Term Care Facility,https://211ontario.ca/service/88363950/norwood-long-term-care-facility-norwood-long-term-care-facility/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Elm Grove Living Centre - Long Term Care Home,https://211ontario.ca/service/88363954/elm-grove-living-centre-long-term-care-home-elm-grove-living-centre-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Nisbet Lodge,https://211ontario.ca/service/92498414/nisbet-lodge-nisbet-lodge/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Cedarvale Terrace - Long Term Care Home,https://211ontario.ca/service/88363930/cedarvale-terrace-long-term-care-home-cedarvale-terrace-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Heritage Nursing Home (The),https://211ontario.ca/service/88363918/heritage-nursing-home-the-heritage-nursing-home-the/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
"University Health Network, Toronto Rehabilitation Institute",https://211ontario.ca/service/69800413/university-health-network-toronto-rehabilitation-institute-lakeside-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Hellenic Home for the Aged,https://211ontario.ca/service/93014162/hellenic-home-for-the-aged-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Arirang Korean Long Term Care,https://211ontario.ca/service/88549525/arirang-korean-long-term-care-arirang-korean-long-term-care/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
White Eagle Long Term Care Residence,https://211ontario.ca/service/88363964/white-eagle-long-term-care-residence-white-eagle-long-term-care-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
"Salvation Army, Seniors Housing Services",https://211ontario.ca/service/73439975/salvation-army-seniors-housing-services-isabel-and-arthur-meighen-manor/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Copernicus Lodge - Long Term Care Home,https://211ontario.ca/service/93014086/copernicus-lodge-long-term-care-home-copernicus-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Toronto Finnish Canadian Seniors Centre - Suomi-Koti Toronto,https://211ontario.ca/service/93014608/toronto-finnish-canadian-seniors-centre-suomi-koti-toronto-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Main Street Terrace - Long Term Care Home,https://211ontario.ca/service/88363881/main-street-terrace-long-term-care-home-main-street-terrace-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
Sunnybrook Health Sciences Centre,https://211ontario.ca/service/69797604/sunnybrook-health-sciences-centre-sunnybrook-health-sciences-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Long term care homes
St Clair O'Connor Community,https://211ontario.ca/service/93595307/st-clair-oconnor-community-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
True Davidson Acres,https://211ontario.ca/service/88363976/true-davidson-acres-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Harold and Grace Baker Long Term Care,https://211ontario.ca/service/88359127/harold-and-grace-baker-long-term-care-harold-and-grace-baker-long-term-care/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Villa Colombo,https://211ontario.ca/service/93593814/villa-colombo-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Better Living Health and Community Services,https://211ontario.ca/service/69799831/better-living-health-and-community-services-thompson-house/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Baycrest,https://211ontario.ca/service/69794212/baycrest-apotex-centre-jewish-home-for-the-aged/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Harmony Hills Community - Long Term Care Home,https://211ontario.ca/service/88364655/harmony-hills-community-long-term-care-home-harmony-hills-community-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Chester Village,https://211ontario.ca/service/88363891/chester-village-chester-village/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Fountain View Community - Long Term Care Home,https://211ontario.ca/service/88363968/fountain-view-community-long-term-care-home-fountain-view-community-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Ivan Franko Home - Long Term Care Home,https://211ontario.ca/service/88363922/ivan-franko-home-long-term-care-home-ivan-franko-home-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Providence Healthcare,https://211ontario.ca/service/69797058/providence-healthcare-providence-healthcare/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Ina Grafton Gage Home - Long Term Care,https://211ontario.ca/service/88358442/ina-grafton-gage-home-long-term-care-ina-grafton-gage-home-long-term-care/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
West Park Healthcare Centre,https://211ontario.ca/service/89672875/west-park-healthcare-centre-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
North Park Nursing Home,https://211ontario.ca/service/88359083/north-park-nursing-home-north-park-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
St Demetrius Development Corporation,https://211ontario.ca/service/92493950/st-demetrius-development-corporation-long-term-care-facility/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Weston Terrace Community,https://211ontario.ca/service/88359143/weston-terrace-community-weston-terrace-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Labdara Lithuanian Nursing Home,https://211ontario.ca/service/71449105/labdara-lithuanian-nursing-home-labdara-lithuanian-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Wexford Residence (The),https://211ontario.ca/service/93593647/wexford-residence-the-wexford-residence-the/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Craiglee Nursing Home,https://211ontario.ca/service/88358491/craiglee-nursing-home-craiglee-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Midland Gardens Community,https://211ontario.ca/service/88358463/midland-gardens-community-midland-gardens-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Lakeshore Lodge,https://211ontario.ca/service/88363980/lakeshore-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Village of Humber Heights,https://211ontario.ca/service/88359115/village-of-humber-heights-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
North York General Hospital,https://211ontario.ca/service/69796105/north-york-general-hospital-seniors-health-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Downsview Long-Term Care Centre,https://211ontario.ca/service/88359046/downsview-long-term-care-centre-downsview-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Hellenic Home,https://211ontario.ca/service/88358500/hellenic-home-scarborough/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=2,Older Adults,Long term care homes
Valleyview Residence,https://211ontario.ca/service/88359103/valleyview-residence-valleyview-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Eatonville Care Centre,https://211ontario.ca/service/69799158/eatonville-care-centre-eatonville-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Carefree Lodge,https://211ontario.ca/service/88741455/carefree-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Kennedy Lodge Nursing Home,https://211ontario.ca/service/88358446/kennedy-lodge-nursing-home-kennedy-lodge-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Dom Lipa Long Term Care Home and Retirement Residence,https://211ontario.ca/service/69799943/dom-lipa-long-term-care-home-and-retirement-residence-dom-lipa-long-term-care-home-and-retirement-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
AgeCare Trilogy,https://211ontario.ca/service/88358483/agecare-trilogy-agecare-trilogy/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Cheltenham Community,https://211ontario.ca/service/88359139/cheltenham-community-cheltenham-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Trillium Health Partners,https://211ontario.ca/service/69806562/trillium-health-partners-mccall-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Cummer Lodge,https://211ontario.ca/service/92493641/cummer-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Fieldstone Commons Community,https://211ontario.ca/service/88358454/fieldstone-commons-community-fieldstone-commons-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Bendale Acres,https://211ontario.ca/service/93593639/bendale-acres-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Extendicare Bayview,https://211ontario.ca/service/88358954/extendicare-bayview-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Rockcliffe Community,https://211ontario.ca/service/88358459/rockcliffe-community-rockcliffe-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Hawthorne Place Care Centre,https://211ontario.ca/service/92493810/hawthorne-place-care-centre-hawthorne-place-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Shepherd Village,https://211ontario.ca/service/93392170/shepherd-village-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Norfinch Community,https://211ontario.ca/service/88359131/norfinch-community-norfinch-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Gibson Long Term Care Residence,https://211ontario.ca/service/88741479/gibson-long-term-care-residence-gibson-long-term-care-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Kipling Acres,https://211ontario.ca/service/69799306/kipling-acres-kipling-acres/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Tendercare Living Centre,https://211ontario.ca/service/88358475/tendercare-living-centre-tendercare-living-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Westside Long-Term Care Home,https://211ontario.ca/service/69794666/westside-long-term-care-home-westside-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Extendicare,https://211ontario.ca/service/88358434/extendicare-guildwood/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Extendicare,https://211ontario.ca/service/88358496/extendicare-scarborough/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Humber Valley Terrace Long-Term Care Home,https://211ontario.ca/service/71449081/humber-valley-terrace-long-term-care-home-humber-valley-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Villa Leonardo Gambin,https://211ontario.ca/service/88359111/villa-leonardo-gambin-villa-leonardo-gambin/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Yee Hong Centre for Geriatric Care - Scarborough - Finch,https://211ontario.ca/service/93112370/yee-hong-centre-for-geriatric-care-scarborough-finch-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=3,Older Adults,Long term care homes
Seven Oaks,https://211ontario.ca/service/88358471/seven-oaks-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Peel Region. Seniors Services Development,https://211ontario.ca/service/69807539/peel-region-seniors-services-development-peel-long-term-care-malton-village/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Mon Sheong Foundation,https://211ontario.ca/service/88358467/mon-sheong-foundation-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Ehatare Nursing Home,https://211ontario.ca/service/88547087/ehatare-nursing-home-ehatare-nursing-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Langstaff Square Community,https://211ontario.ca/service/88359135/langstaff-square-community-langstaff-square-community/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Tony Stacey Centre for Veterans Care,https://211ontario.ca/service/88358479/tony-stacey-centre-for-veterans-care-tony-stacey-centre-for-veterans-care/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Extendicare,https://211ontario.ca/service/88358438/extendicare-rouge-valley/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Unionville Home Society,https://211ontario.ca/service/93112785/unionville-home-society-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Unionville Home Society,https://211ontario.ca/service/93112793/unionville-home-society-unionville-home-society/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Bethany Lodge,https://211ontario.ca/service/93593762/bethany-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Bethany Lodge,https://211ontario.ca/service/93593764/bethany-lodge-bethany-lodge/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Mariann Home,https://211ontario.ca/service/88359075/mariann-home-mariann-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Mackenzie Health,https://211ontario.ca/service/69802679/mackenzie-health-mackenzie-richmond-hill-hospital/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Extendicare Northridge,https://211ontario.ca/service/93594292/extendicare-northridge-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Wyndham Manor,https://211ontario.ca/service/93012601/wyndham-manor-long-term-care-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Extendicare West Oak Village,https://211ontario.ca/service/93594300/extendicare-west-oak-village-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
AgeCare Glen Oaks,https://211ontario.ca/service/93594296/agecare-glen-oaks-long-term-care-residence/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Bennett Centre Long Term Care,https://211ontario.ca/service/93594284/bennett-centre-long-term-care-bennett-centre-long-term-care/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Extendicare Halton Hills,https://211ontario.ca/service/93340652/extendicare-halton-hills-long-term-care-centre/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Bob Rumball Home for the Deaf,https://211ontario.ca/service/71092556/bob-rumball-home-for-the-deaf-bob-rumball-home-for-the-deaf/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Maple View Lodge,https://211ontario.ca/service/68952081/maple-view-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Rosebridge Manor,https://211ontario.ca/service/68956406/rosebridge-manor-rosebridge-manor/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Garden Terrace,https://211ontario.ca/service/68968752/garden-terrace-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Glen-Stor-Dun Lodge,https://211ontario.ca/service/68957776/glen-stor-dun-lodge-long-term-care-home/?searchLocation=Toronto&topicPath=148&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance&pg=4,Older Adults,Long term care homes
Toronto Police Service,https://211ontario.ca/service/69795857/toronto-police-service-toronto-police-service/?searchLocation=Toronto&topicPath=313&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Missing persons location assistance
MedicAlert Foundation Canada,https://211ontario.ca/service/92866477/medicalert-foundation-canada-medicalert-foundation-canada/?searchLocation=Toronto&topicPath=313&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Missing persons location assistance
MedicAlert Foundation Canada,https://211ontario.ca/service/92996803/medicalert-foundation-canada-safe-and-found/?searchLocation=Toronto&topicPath=313&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Missing persons location assistance
Centres d'Accueil Héritage,https://211ontario.ca/service/84035632/centres-daccueil-heritage-place-saint-laurent-housing/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Hazelton Place Retirement Residence,https://211ontario.ca/service/88075153/hazelton-place-retirement-residence-hazelton-place-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Belmont House,https://211ontario.ca/service/88363958/belmont-house-retirement-living/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Annex Retirement Residence,https://211ontario.ca/service/88075082/annex-retirement-residence-annex-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
O'Neill Centre (The),https://211ontario.ca/service/88363895/oneill-centre-the-oneill-centre-the/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Christie Gardens Apartments and Care,https://211ontario.ca/service/88076309/christie-gardens-apartments-and-care-christie-gardens-apartments-and-care/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Bradgate Arms Retirement Residence,https://211ontario.ca/service/88075118/bradgate-arms-retirement-residence-bradgate-arms-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
New Horizons Tower,https://211ontario.ca/service/88076180/new-horizons-tower-new-horizons-tower/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Chartwell Avondale Retirement Residence,https://211ontario.ca/service/88075565/chartwell-avondale-retirement-residence-chartwell-avondale-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Hellenic Home for the Aged,https://211ontario.ca/service/93014167/hellenic-home-for-the-aged-hellenic-home-housing-complex/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Lifetimes Living - Millwood (The),https://211ontario.ca/service/88075274/lifetimes-living-millwood-the-lifetimes-living-millwood-the/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Forest Hill Place Retirement Residence,https://211ontario.ca/service/88075090/forest-hill-place-retirement-residence-forest-hill-place-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Leaside Retirement Residence,https://211ontario.ca/service/88075114/leaside-retirement-residence-leaside-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Chartwell Grenadier Retirement Residence (The),https://211ontario.ca/service/88075098/chartwell-grenadier-retirement-residence-the-chartwell-grenadier-retirement-residence-the/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
St Hildas Senior Community,https://211ontario.ca/service/69797437/st-hildas-senior-community-st-hildas-senior-community/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Harold and Grace Baker Centre Retirement Home,https://211ontario.ca/service/88073040/harold-and-grace-baker-centre-retirement-home-harold-and-grace-baker-centre-retirement-home/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Teddington Retirement Residence,https://211ontario.ca/service/88075094/teddington-retirement-residence-teddington-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Delmanor Wynford,https://211ontario.ca/service/88072540/delmanor-wynford-delmanor-wynford/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Baycrest,https://211ontario.ca/service/69794217/baycrest-baycrest-terraces/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Donway Place Retirement Residence,https://211ontario.ca/service/88072544/donway-place-retirement-residence-donway-place-retirement-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
Greenview Lodge Senior Care Residence,https://211ontario.ca/service/88072715/greenview-lodge-senior-care-residence-greenview-lodge-senior-care-residence/?searchLocation=Toronto&topicPath=149&latitude=43.653226&longitude=-79.3831843&sd=25&ss=Distance,Older Adults,Retirement homes
